NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_long_parameters_list
0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.2857142857142857,0.02766798418972332,0.020833333333333332,0.0,0.0,0.0,0.10294117647058823,1.0,0.0,0.03125,0.2222222222222222,0.0,0.0,0.0,0.0,0.05737704918032787,0.09090909090909091,0.06787330316742082,0.0,0.011560693641618497,0.021739130434782608,0.05921052631578947,0.05660377358490566,0.0,0.7142857142857142,0.0405355150613611,0.04230488694383661,0.0031419284940411704,0.177777778,0.0048543689320388345,0.06206896551724138,0.04824561403508772,0.10526315789473684,0.041116005873715125,0.48055555549999995,0.0,0.03339517625231911,0.07880434780763779,0.17682926825494497,0.021978021978021976,0.0,0.0,0.0,0.0023132848645076006,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.14285714285714285,0.007905138339920948,0.0,0.0,0.0,0.0,0.029411764705882353,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.009049773755656108,0.01694915254237288,0.0,0.0,0.019736842105263157,0.0047169811320754715,0.0017331022530329288,0.2857142857142857,0.0024172554853105245,0.00437636761487965,0.0,1.0,0.0,0.0,0.0029239766081871343,0.05263157894736842,0.0029368575624082226,0.25,1.0,0.0055658627087198514,0.0,0.08841463412747248,0.19780219780219782,0.08894117647058823,0.0,0.08849400660270756,0.07633840052875082,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0625,0.0,0.030303030303030304,0.09090909090909091,0.0,0.14285714285714285,0.003952569169960474,0.0,0.0,0.027777777777777776,0.0,0.029411764705882353,0.5,0.06666666666666667,0.046875,0.05555555555555555,0.029411764705882353,0.0,1.0,0.017857142857142856,0.2377049180327869,0.8181818181818182,0.5520361990950227,0.15254237288135594,0.2890173410404624,1.0,0.6184210526315789,0.5094339622641509,0.13518197573656845,0.42857142857142855,0.36333209371513575,0.40627279358132745,0.400874477635041,0.012612613,0.4223300970873786,1.0,0.8333333333333333,0.05263157894736842,0.3994126284875183,0.49605343049999995,0.702072539,0.43413729128014844,0.1182804469789979,0.22009600409327218,0.19780219780219782,0.08894117647058823,0.0,0.08849400660270756,0.07633840052875082,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0,0.3125,0.030303030303030304,0.09090909090909091,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.5,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.017857142857142856,0.1721311475409836,0.0,0.411764705882353,0.0,0.0,0.0,0.4671052631578947,0.023584905660377357,0.0,0.0,0.05299367794719226,0.05057135910527595,0.0,0.0,0.02427184466019417,0.10344827586206896,0.13304093567251463,0.05263157894736842,0.13362701908957414,0.5054945055,0.5,0.13172541743970315,0.0,0.08841463412747248,0.17582417582417584,0.24188235294117647,0.11827956989247312,0.128686327077748,0.23760740251156642,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0625,0.0,0.06060606060606061,0.18181818181818182,0.0,0.14285714285714285,0.007905138339920948,0.0,0.0,0.027777777777777776,0.0,0.044117647058823525,0.5,0.06666666666666667,0.0,0.05555555555555555,0.029411764705882353,0.0,1.0,0.017857142857142856,0.0,0.0,0.009049773755656108,0.00847457627118644,0.005780346820809248,0.007246376811594203,0.019736842105263157,0.0,0.0017331022530329288,0.2857142857142857,0.0016734845667534398,0.0034038414782397277,0.0,0.0,0.0,0.006896551724137931,0.0043859649122807015,0.05263157894736842,0.0029368575624082226,0.0,1.0,0.0055658627087198514,0.0,0.08841463412747248,0.17582417582417584,0.24188235294117647,0.11827956989247312,0.128686327077748,0.23760740251156642,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0625,0.25,0.030303030303030304,0.09090909090909091,0.21052631578947367,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.014705882352941176,0.5,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.11842105263157894,0.0,0.0,0.0,0.006879880996653031,0.010211524434719184,0.0,0.0,0.0,0.013793103448275862,0.024853801169590642,0.05263157894736842,0.024963289280469893,0.0,0.5,0.03339517625231911,0.0,0.08841463412747248,0.17582417582417584,0.24188235294117647,0.11827956989247312,0.128686327077748,0.23760740251156642,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.14285714285714285,0.007905138339920948,0.0,0.0,0.0,0.0,0.014705882352941176,0.5,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.031674208144796386,0.00847457627118644,0.057803468208092484,0.08695652173913043,0.05263157894736842,0.009433962264150943,0.02772963604852686,0.42857142857142855,0.023986612123465974,0.03257962557743739,0.0029871536913790436,0.47619047600000003,0.0,0.09655172413793103,0.06432748538011696,0.05263157894736842,0.029368575624082228,0.39285714299999996,1.0,0.03896103896103896,0.15760869561527557,0.23208841458461527,0.39560439560439564,0.17458823529411766,0.043010752688172046,0.10639664990140253,0.14077990746860541,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.0625,0.0,0.030303030303030304,0.09090909090909091,0.0,0.14285714285714285,0.007905138339920948,0.0,0.0,0.027777777777777776,0.0,0.014705882352941176,0.5,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.013574660633484163,0.00847457627118644,0.0,0.014492753623188406,0.02631578947368421,0.0047169811320754715,0.0017331022530329288,0.2857142857142857,0.00520639642989959,0.008023340627279357,0.0001238198421297013,0.0,0.0,0.013793103448275862,0.007309941520467836,0.05263157894736842,0.004405286343612334,0.5,1.0,0.0074211502782931356,0.0,0.08841463412747248,0.39560439560439564,0.17458823529411766,0.043010752688172046,0.10639664990140253,0.14077990746860541,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.125,0.125,0.030303030303030304,0.09090909090909091,0.10526315789473684,0.2857142857142857,0.04743083003952569,0.020833333333333332,0.0,0.1111111111111111,0.0,0.11764705882352941,1.0,0.06666666666666667,0.0625,0.2222222222222222,0.058823529411764705,0.0,0.5,0.0,0.0,0.0,0.009049773755656108,0.00847457627118644,0.005780346820809248,0.007246376811594203,0.019736842105263157,0.014150943396226415,0.0017331022530329288,0.2857142857142857,0.005578281889178133,0.008509603695599319,0.00015477480266212662,1.0,0.014563106796116504,0.013793103448275862,0.005847953216374269,0.05263157894736842,0.005873715124816446,0.5833333335,0.75,0.00927643784786642,0.06465997772064816,0.147357723575259,0.39560439560439564,0.17458823529411766,0.043010752688172046,0.10639664990140253,0.14077990746860541,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
0.125,0.125,0.030303030303030304,0.09090909090909091,0.10526315789473684,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.014705882352941176,0.5,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.017857142857142856,0.02459016393442623,0.0,0.01809954751131222,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0007437709185570845,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.05263157894736842,0.005873715124816446,0.0,0.5,0.0037105751391465678,0.0,0.08841463412747248,0.08791208791208792,0.046588235294117646,0.08602150537634409,0.024593977798949774,0.04196959682749504,0.3076923076923077,0.35100788781770376,0.2655172413793103,0.2861198575336809,0.3325771988877506,0.19318278569884795,0
